,name,team,position,median_fpts,high_fpts,low_fpts
301,Deebo Samuel,SF,wr,131.4,152.3,122.6
302,Robby Anderson,CAR,wr,130.4,133.9,127.7
303,JuJu Smith-Schuster,PIT,wr,129.3,137.2,122.3
304,Michael Gallup,DAL,wr,128.2,136.4,123.5
305,Jerry Jeudy,DEN,wr,127.6,136.7,117.9
306,Tyler Boyd,CIN,wr,124.0,139.9,116.5
307,Marquise Brown,BAL,wr,123.8,135.8,117.5
308,Curtis Samuel,WAS,wr,121.7,138.2,99.9
309,Mike Williams,LAC,wr,121.4,136.3,103.5
310,Jarvis Landry,CLE,wr,120.4,133.4,106.8
311,Laviska Shenault Jr.,JAC,wr,119.6,129.1,103.2
312,DeVante Parker,MIA,wr,118.8,133.2,98.9
313,Michael Thomas,NO,wr,118.1,131.7,112.3
314,DeVonta Smith,PHI,wr,116.2,126.2,99.4
315,Will Fuller V,MIA,wr,115.4,134.0,88.6
316,T.Y. Hilton,IND,wr,113.7,130.2,106.7
317,Corey Davis,NYJ,wr,109.7,114.1,102.9
318,Marvin Jones Jr.,JAC,wr,106.9,135.8,74.2
319,Mecole Hardman,KC,wr,106.7,118.3,100.9
320,Antonio Brown,TB,wr,104.1,118.6,72.1
321,Darnell Mooney,CHI,wr,103.9,116.0,88.2
322,Jaylen Waddle,MIA,wr,102.9,121.1,77.5
323,Breshad Perriman,DET,wr,102.5,110.0,99.5
324,Henry Ruggs III,LV,wr,102.2,118.0,88.6
325,Cole Beasley,BUF,wr,100.8,119.5,87.5
326,Tyrell Williams,DET,wr,99.9,121.7,86.7
327,Michael Pittman Jr.,IND,wr,98.5,120.8,78.4
328,Nelson Agholor,NE,wr,97.6,113.2,80.0
329,Jalen Reagor,PHI,wr,97.6,116.1,73.6
330,Emmanuel Sanders,BUF,wr,97.3,131.3,71.0
331,Tre'Quan Smith,NO,wr,97.2,117.3,80.9
332,Russell Gage,ATL,wr,96.2,107.1,81.7
333,Gabriel Davis,BUF,wr,93.0,111.7,70.5
334,Elijah Moore,NYJ,wr,88.6,104.2,66.6
335,John Brown,LV,wr,86.2,99.1,77.7
336,Sterling Shepard,NYG,wr,86.1,103.6,73.5
337,Christian Kirk,ARI,wr,84.6,116.7,60.0
338,A.J. Green,ARI,wr,84.1,95.8,70.4
339,Randall Cobb,GB,wr,83.4,97.3,53.6
340,Rashod Bateman,BAL,wr,83.2,100.2,51.7
341,Rondale Moore,ARI,wr,80.2,102.1,43.3
342,DeSean Jackson,LAR,wr,78.7,97.6,63.5
343,Jamison Crowder,NYJ,wr,78.5,101.3,62.2
344,Darius Slayton,NYG,wr,76.9,91.2,59.7
345,Allen Lazard,GB,wr,76.9,97.7,56.6
346,Parris Campbell,IND,wr,76.4,95.7,46.4
347,Terrace Marshall Jr.,CAR,wr,75.6,107.6,43.7
348,Jakobi Meyers,NE,wr,72.3,98.5,49.5
349,Van Jefferson,LAR,wr,68.2,96.9,38.1
350,Hunter Renfrow,LV,wr,67.2,88.8,42.2
351,Denzel Mims,NYJ,wr,67.1,93.1,52.1
352,Anthony Miller,HOU,wr,66.6,82.5,46.1
353,Josh Reynolds,TEN,wr,64.8,80.6,45.7
354,Marquez Valdes-Scantling,GB,wr,64.3,96.2,42.9
355,Chris Conley,HOU,wr,63.5,93.5,50.8
356,Keelan Cole Sr.,NYJ,wr,62.5,87.0,50.4
357,Sammy Watkins,BAL,wr,62.4,85.3,42.3
358,Marquez Callaway,NO,wr,61.9,62.7,60.5
359,James Washington,PIT,wr,61.7,91.9,51.2
360,D'Wayne Eskridge,SEA,wr,61.0,70.1,53.2
361,Amon-Ra St. Brown,DET,wr,59.6,65.3,52.6
362,Rashard Higgins,CLE,wr,59.3,79.9,39.0
363,Demarcus Robinson,KC,wr,59.1,74.1,51.0
364,Zach Pascal,IND,wr,56.7,98.4,30.9
365,Jalen Guyton,LAC,wr,56.6,76.6,43.0
366,Geronimo Allison,DET,wr,55.4,53.8,53.8
367,Josh Palmer,LAC,wr,55.1,73.1,41.0
368,Nico Collins,HOU,wr,54.6,79.8,8.6
369,KJ Hamler,DEN,wr,54.4,78.9,42.6
370,Kendrick Bourne,NE,wr,53.3,66.8,44.1
371,Kadarius Toney,NYG,wr,52.0,78.9,37.2
372,Tim Patrick,DEN,wr,51.1,94.7,24.5
373,Olamide Zaccheaus,ATL,wr,51.1,74.5,28.4
374,Keke Coutee,HOU,wr,49.3,84.6,29.8
375,Preston Williams,MIA,wr,47.9,104.2,26.2
376,Deonte Harris,NO,wr,46.6,51.1,39.3
377,Mohamed Sanu,SF,wr,45.7,75.7,10.5
378,Tyron Johnson,LAC,wr,45.2,82.5,25.9
379,Bryan Edwards,LV,wr,44.9,48.2,39.0
380,Adam Humphries,WAS,wr,42.1,53.9,34.7
381,Richie James Jr.,SF,wr,41.2,81.9,20.7
382,Byron Pringle,KC,wr,40.7,51.6,29.3
383,Dyami Brown,WAS,wr,40.6,52.2,22.1
384,Quintez Cephus,DET,wr,40.2,58.3,27.5
385,Travis Fulgham,PHI,wr,39.5,50.4,17.7
386,Damiere Byrd,CHI,wr,37.8,83.6,5.9
387,Scotty Miller,TB,wr,36.4,54.5,22.7
388,Tutu Atwell,LAR,wr,35.9,47.6,24.5
389,Isaiah McKenzie,BUF,wr,35.5,44.6,21.0
390,Isaiah Coulter,HOU,wr,35.0,73.0,1.2
391,Auden Tate,CIN,wr,34.3,40.8,31.0
392,Amari Rodgers,GB,wr,31.6,34.4,27.9
393,Greg Ward,PHI,wr,27.4,50.9,6.7
394,N'Keal Harry,NE,wr,27.3,36.5,16.8
395,Devin Duvernay,BAL,wr,26.7,47.4,15.1
396,Dez Fitzpatrick,TEN,wr,25.8,33.5,18.3
397,Phillip Dorsett II,JAC,wr,23.6,31.3,15.7
398,Donovan Peoples-Jones,CLE,wr,23.4,31.5,12.8
399,Collin Johnson,JAC,wr,23.2,25.9,18.5
400,Marquise Goodwin,CHI,wr,22.8,28.3,12.5
401,David Moore,CAR,wr,22.7,44.2,2.3
402,Willie Snead IV,LV,wr,21.9,27.0,16.8
403,Freddie Swain,SEA,wr,21.6,24.9,19.1
404,Dede Westbrook,MIN,wr,19.1,21.9,16.3
405,Lynn Bowden Jr.,MIA,wr,18.3,22.8,13.9
406,KeeSean Johnson,ARI,wr,18.2,31.5,11.3
407,Andy Isabella,ARI,wr,17.9,17.6,17.6
408,Christian Blake,ATL,wr,17.5,24.0,12.9
409,Ray-Ray McCloud,PIT,wr,17.4,22.3,12.7
410,Anthony Schwartz,CLE,wr,17.3,17.3,17.3
411,Miles Boykin,BAL,wr,16.4,29.5,6.6
412,Chris Moore,HOU,wr,16.3,16.1,16.1
413,Jalen Hurd,SF,wr,16.2,23.9,8.8
414,Javon Wims,CHI,wr,16.2,20.1,11.6
415,Tyler Johnson,TB,wr,14.7,19.6,11.1
416,Jamal Agnew,JAC,wr,14.7,16.7,11.8
417,Jeff Smith,NYJ,wr,14.4,14.2,14.2
418,Cedrick Wilson,DAL,wr,14.3,27.5,1.3
419,Chris Hogan,NO,wr,14.0,19.4,8.7
420,Cameron Batson,TEN,wr,13.4,15.8,11.0
421,Chad Beebe,MIN,wr,13.4,23.6,3.1
422,Andre Roberts,HOU,wr,13.1,25.5,1.0
423,Cam Sims,WAS,wr,13.0,28.6,3.0
424,Mike Thomas,CIN,wr,12.7,22.5,3.0
425,Noah Brown,DAL,wr,12.5,24.2,1.3
426,Frank Darby,ATL,wr,11.9,11.9,11.9
427,Alex Erickson,HOU,wr,11.8,12.4,10.6
428,Kalif Raymond,DET,wr,11.7,19.8,6.4
429,Kawaan Baker,NO,wr,11.0,11.0,11.0
430,Penny Hart,SEA,wr,10.9,15.6,6.2
431,DaeSean Hamilton,DEN,wr,10.4,10.4,10.4
432,Steven Sims Jr.,WAS,wr,10.0,9.9,9.9
433,Nick Westbrook-Ikhine,TEN,wr,9.6,23.9,1.7
434,Antonio Gandy-Golden,WAS,wr,9.5,11.2,7.5
435,John Ross,NYG,wr,9.2,14.3,1.2
436,Juwan Johnson,NO,wr,8.3,18.6,2.9
437,Tajae Sharpe,ATL,wr,8.0,9.4,6.6
438,Shi Smith,CAR,wr,7.8,7.8,7.8
439,Lil'Jordan Humphrey,NO,wr,7.5,7.3,7.3
440,Albert Wilson,MIA,wr,7.4,10.3,4.9
441,Diontae Spencer,DEN,wr,7.2,7.2,6.9
442,Ihmir Smith-Marsette,MIN,wr,6.8,8.1,5.6
443,Cornell Powell,KC,wr,6.8,6.8,6.8
444,Victor Bolden Jr.,DET,wr,6.6,7.3,5.7
445,Isaiah Hodgins,BUF,wr,6.6,6.6,6.6
446,Jaelon Darden,TB,wr,6.5,6.5,6.5
447,J.J. Nelson,IND,wr,6.5,6.4,6.4
448,Marcus Johnson,TEN,wr,6.3,6.0,6.0
449,Greg Dortch,ARI,wr,6.3,6.1,6.1
450,Riley Ridley,CHI,wr,6.0,5.9,5.9
451,Jakeem Grant Sr.,MIA,wr,5.9,7.0,4.5
452,Chester Rogers,TEN,wr,5.7,5.4,5.4
453,Gunner Olszewski,NE,wr,5.7,7.0,4.5
454,Zay Jones,LV,wr,5.5,6.0,5.1
455,Tylan Wallace,BAL,wr,5.5,5.5,5.5
456,Dazz Newsome,CHI,wr,5.5,5.5,5.5
457,Trent Taylor,CIN,wr,5.4,5.5,5.4
458,Quez Watkins,PHI,wr,4.8,8.8,1.2
459,Marcus Kemp,KC,wr,3.9,6.9,1.4
460,Devin Funchess,GB,wr,3.8,6.8,1.2
461,Isaac Whitney,ARI,wr,3.4,3.2,3.2
462,Simi Fehoko,DAL,wr,3.4,3.4,3.4
463,Justin Watson,TB,wr,3.3,3.3,3.3
464,Terry Godwin,JAC,wr,3.3,3.0,3.0
465,J.J. Arcega-Whiteside,PHI,wr,3.2,3.1,3.1
466,Brandon Powell,BUF,wr,3.2,3.1,3.1
467,K.J. Hill Jr.,LAC,wr,2.9,4.9,1.4
468,Braxton Berrios,NYJ,wr,2.9,4.2,1.9
