,Pos,Player,Team,Auction Value,Upside,Downside,Exp_PTS,Hi_PTS,Lo_PTS
2721,WR,Cole Beasley,BUF,0.0,4.466501240694791,-2.8883374689826304,69.6,84.6,59.9
2154,TE,Noah Fant,DEN,0.0,3.9900744416873484,-6.074441687344915,69.5,82.9,49.1
2722,WR,A.J. Brown,TEN,0.0,1.3995037220843645,-1.5186104218362315,69.4,74.1,64.3
2723,WR,Tre'Quan Smith,NO,0.0,5.330024813895786,-3.692307692307694,67.3,85.2,54.9
158,RB,Giovani Bernard,CIN,0.0,3.5136476426799015,-2.947890818858562,67.0,78.8,57.1
2155,TE,T.J. Hockenson,DET,0.0,5.330024813895782,-5.80645161290323,66.9,84.8,47.4
159,RB,Frank Gore,BUF,0.0,4.58560794044665,-4.883374689826307,66.7,82.1,50.3
160,RB,Gus Edwards,BAL,0.0,4.347394540942928,-4.04962779156328,66.4,81.0,52.8
161,RB,Kareem Hunt,CLE,0.0,10.570719602977672,-8.099255583126556,66.2,101.7,39.0
2724,WR,Danny Amendola,DET,0.0,3.0669975186104224,-5.449131513647647,66.2,76.5,47.9
2156,TE,Tyler Eifert,CIN,0.0,4.585607940446654,-4.555831265508687,66.1,81.5,50.8
2725,WR,Randall Cobb,DAL,0.0,4.466501240694791,-2.292803970223325,65.3,80.3,57.6
2726,WR,Breshad Perriman,TB,0.0,8.575682382133998,-5.866004962779158,64.8,93.6,45.1
2727,WR,Deebo Samuel,SF,0.0,9.796526054590572,-10.66004962779157,64.4,97.3,28.6
2157,TE,Jason Witten,DAL,0.0,2.9776674937965275,-2.471464019851119,63.7,73.7,55.4
162,RB,Damien Harris,NE,0.0,9.58808933002482,-5.717121588089333,63.2,95.4,44.0
2158,TE,Chris Herndon IV,NYJ,0.0,3.8709677419354858,-7.652605459057076,63.0,76.0,37.3
2728,WR,Andy Isabella,ARI,0.0,4.317617866004965,-8.06947890818859,63.0,77.5,35.9
2729,WR,Mecole Hardman,KC,0.0,8.724565756823827,-6.967741935483874,61.1,90.4,37.7
2159,TE,Dallas Goedert,PHI,0.0,4.347394540942928,-9.290322580645165,61.0,75.6,29.8
2730,WR,Antonio Callaway,CLE,0.0,15.245657568238222,-7.086848635235735,60.3,111.5,36.5
163,RB,Mike Davis,CHI,0.0,4.40694789081886,-7.205955334987597,58.2,73.0,34.0
164,RB,Theo Riddick,DET,0.0,3.096774193548386,-4.823821339950375,56.7,67.1,40.5
165,RB,T.J. Yeldon,BUF,0.0,8.665012406947895,-7.444168734491319,55.1,84.2,30.1
2160,TE,Darren Waller,OAK,0.0,1.9652605459057086,-2.263027295285361,54.9,61.5,47.3
2731,WR,D.J. Chark,JAC,0.0,7.861042183622832,-6.253101736972708,54.6,81.0,33.6
2732,WR,Trey Quinn,WAS,0.0,4.109181141439207,-2.918114143920596,54.0,67.8,44.2
2733,WR,Rashard Higgins,CLE,0.0,13.369727047146409,-9.736972704714645,53.9,98.8,21.2
2734,WR,John Ross,CIN,0.0,2.9776674937965275,-3.573200992555833,53.6,63.6,41.6
166,RB,Alexander Mattison,MIN,0.0,12.59553349875931,-6.193548387096777,53.0,95.3,32.2
2735,WR,Travis Benjamin,LAC,0.0,3.4540942928039704,-1.4888337468982638,53.0,64.6,48.0
167,RB,Alfred Blue,JAC,0.0,6.878411910669979,-3.8114143920595565,52.6,75.7,39.8
168,RB,Bilal Powell,NYJ,0.0,8.129032258064521,-5.776674937965263,52.4,79.7,33.0
2736,WR,Chris Conley,JAC,0.0,6.133995037220849,-5.032258064516131,50.3,70.9,33.4
2737,WR,Jakeem Grant,MIA,0.0,9.558312655086853,-3.6327543424317645,50.1,82.2,37.9
2738,WR,Demarcus Robinson,KC,0.0,9.528535980148886,-6.699751861042187,49.6,81.6,27.1
2161,TE,Mike Gesicki,MIA,0.0,7.057071960297771,-6.669975186104221,49.5,73.2,27.1
2162,TE,Benjamin Watson,NE,0.0,6.104218362282881,-4.79404466501241,49.0,69.5,32.9
2163,TE,Will Dissly,SEA,0.0,6.937965260545909,-13.339950372208442,48.8,72.1,4.0
169,RB,Devontae Booker,DEN,0.0,4.1985111662531045,-5.687344913151368,48.6,62.7,29.5
2164,TE,Cameron Brate,TB,0.0,8.87344913151365,-2.7096774193548403,48.2,78.0,39.1
2739,WR,Kendrick Bourne,SF,0.0,13.131513647642684,-9.08188585607941,48.2,92.3,17.7
819,QB,Drew Lock,DEN,0.0,18.133995037220853,-11.583126550868492,47.9,108.8,9.0
2165,TE,Vernon Davis,WAS,0.0,2.6799007444168748,-1.8461538461538478,47.0,56.0,40.8
2740,WR,Equanimeous St. Brown,GB,0.0,5.776674937965265,-6.5508684863523605,47.0,66.4,25.0
170,RB,Justin Jackson,LAC,0.0,8.158808933002486,-9.975186104218366,46.8,74.2,13.3
171,RB,Justice Hill,BAL,0.0,12.625310173697278,-5.062034739454097,46.5,88.9,29.5
2741,WR,Phillip Dorsett,NE,0.0,6.967741935483874,-10.511166253101742,45.6,69.0,10.3
2166,TE,Gerald Everett,LAR,0.0,1.9950372208436742,-1.5781637717121588,45.5,52.2,40.2
2742,WR,Chris Hogan,CAR,0.0,6.312655086848637,-8.039702233250624,45.1,66.3,18.1
172,RB,Rex Burkhead,NE,0.0,1.4888337468982638,-0.8933002481389583,44.9,49.9,41.9
173,RB,Doug Martin,OAK,0.0,5.30024813895782,-2.3523573200992565,43.3,61.1,35.4
2167,TE,Jace Sternberger,GB,0.0,5.985111662531021,-3.0669975186104224,42.9,63.0,32.6
2743,WR,Demaryius Thomas,NE,0.0,10.034739454094298,-6.610421836228292,42.7,76.4,20.5
174,RB,Chase Edmonds,ARI,0.0,6.104218362282881,-2.292803970223325,41.9,62.4,34.2
2168,TE,Ian Thomas,CAR,0.0,5.062034739454097,-4.377171215880894,41.3,58.3,26.6
2169,TE,Ricky Seals-Jones,ARI,0.0,5.330024813895786,-7.861042183622832,41.3,59.2,14.9
2744,WR,Josh Reynolds,LAR,0.0,6.997518610421838,-3.960297766749382,41.1,64.6,27.8
175,RB,Elijah McGuire,NYJ,0.0,6.044665012406952,-12.178660049627798,40.9,61.2,0.0
2170,TE,Geoff Swaim,JAC,0.0,5.240694789081889,-6.074441687344917,40.1,57.7,19.7
2745,WR,Terry McLaurin,WAS,0.0,2.560794044665014,-1.6674937965260537,39.8,48.4,34.2
2171,TE,Hayden Hurst,BAL,0.0,3.9602977667493806,-2.8883374689826313,39.5,52.8,29.8
2746,WR,Hakeem Butler,ARI,0.0,8.605459057071965,-4.674937965260548,39.4,68.3,23.7
176,RB,Darwin Thompson,KC,0.0,14.531017369727053,-7.414392059553355,39.2,88.0,14.3
177,RB,Malcolm Brown,LAR,0.0,5.449131513647647,-2.918114143920596,38.9,57.2,29.1
2172,TE,Jordan Thomas,HOU,0.0,3.1563275434243194,-3.007444168734492,38.8,49.4,28.7
178,RB,Devin Singletary,BUF,0.0,7.6228287841191085,-7.920595533498764,38.5,64.1,11.9
179,RB,Corey Clement,PHI,0.0,6.044665012406952,-7.771712158808936,38.4,58.7,12.3
2747,WR,Jermaine Kearse,DET,0.0,6.312655086848639,-7.146401985111666,37.9,59.1,13.9
2173,TE,Matt LaCosse,NE,0.0,3.5434243176178692,-4.109181141439207,37.8,49.7,24.0
2748,WR,Jaron Brown,SEA,0.0,8.337468982630277,-7.086848635235735,37.8,65.8,14.0
2749,WR,Hunter Renfrow,OAK,0.0,3.126550868486354,-1.6079404466501244,37.3,47.8,31.9
2750,WR,Dontrelle Inman,NE,0.0,12.000000000000007,-10.987593052109187,36.9,77.2,0.0
2751,WR,Jarius Wright,CAR,0.0,4.1687344913151385,-1.7568238213399507,36.4,50.4,30.5
180,RB,Tony Pollard,DAL,0.0,12.535980148883384,-3.692307692307694,36.3,78.4,23.9
2174,TE,Tyler Higbee,LAR,0.0,3.334987593052112,-2.20347394540943,36.3,47.5,28.9
181,RB,Andre Ellington,TB,0.0,4.79404466501241,-3.841191066997521,36.1,52.2,23.2
2752,WR,Tim Patrick,DEN,0.0,4.466501240694791,-5.032258064516133,36.1,51.1,19.2
182,RB,Wayne Gallman,NYG,0.0,6.699751861042187,-5.866004962779159,36.0,58.5,16.3
2175,TE,Josh Oliver,JAC,0.0,2.9776674937965275,-2.4119106699751875,36.0,46.0,27.9
2753,WR,Chester Rogers,IND,0.0,5.86600496277916,-6.818858560794047,35.9,55.6,13.0
2754,WR,Seth Roberts,BAL,0.0,7.622828784119111,-8.18858560794045,35.8,61.4,8.3
820,QB,Daniel Jones,NYG,0.0,11.16625310173698,-5.746898263027298,35.4,72.9,16.1
2755,WR,Miles Boykin,BAL,0.0,8.397022332506209,-7.801488833746901,35.3,63.5,9.1
2176,TE,Kahale Warring,HOU,0.0,4.1389578163771725,-4.317617866004966,34.7,48.6,20.2
2177,TE,Blake Jarwin,DAL,0.0,3.9007444168734513,-5.032258064516131,34.4,47.5,17.5
2756,WR,J.J. Arcega-Whiteside,PHI,0.0,1.6674937965260537,-1.3399503722084385,34.2,39.8,29.7
2178,TE,Nick Vannett,SEA,0.0,4.645161290322584,-3.930521091811416,33.9,49.5,20.7
